materia,voto_1,voto_2,voto_3,voto_4,voto_5,voto_6,voto_7,voto_8,voto_9,voto_10,media
LINGUA E LETTERATURA ITALIANA,7.75,6.75,7.0,10.0,6.5,8.5, , , , ,"7,75"
LINGUA INGLESE,8.0,8.5,7.75,6.25,7.75,8.5, , , , ,"7,79"
SCIENZE MOTORIE E SPORTIVE,8.0,7.5,8.0,8.0, , , , , , ,"7,88"
STORIA,1.0,10.0,10.0,10.0,10.0,10.0, , , , ,"8,50"
MATEMATICA,5.0,10.0,7.5,9.0,9.5,10.0, , , , ,"8,50"
SCIENZE INTEGRATE (CHIMICA),10.0,8.0,9.5,9.0, , , , , , ,"9,12"
DIRITTO ED ECONOMIA,8.75,7.75,9.75,8.5, , , , , , ,"8,69"
SCIENZE INTEGRATE (SCIENZE DELLA TERRA E BIOLOGIA),10.0,10.0,10.0,10.0,9.0, , , , , ,"9,80"
SCIENZE INTEGRATE (FISICA),3.25,10.0,6.0,6.0,8.75,8.5,9.5, , , ,"7,43"
TECNOLOGIE E TECNICHE DI RAPPRESENTAZIONE GRAFICA,8.75,10.0,10.0,9.25,9.0, , , , , ,"9,40"
SCIENZE E TECNOLOGIE APPLICATE,9.5,10.0,9.0,10.0, , , , , , ,"9,62"
EDUCAZIONE CIVICA,6.0,7.75,9.0,8.0,8.0,7.0,7.25, , , ,"7,57"
